,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,pred_num_pix,pred_sum_pix,true_num_pix,true_sum_pix,ke,true_ke
118,172,5,0.300018310546875,True,0,1,[11 10],[0.82575756 0.00160385],122,28.688063,119,33.939571380615234,34.56393092511649,42.01915712473744
119,173,4,0.2999267578125,True,1,1,[22],[0.6329114],51,12.469232,78,26.182884216308594,15.023170609072032,30.91017853742231
120,173,5,0.29998779296875,True,0,1,[11  9],[0.5531915 0.002849 ],41,9.870311,32,7.147265434265137,11.891940702874978,31.79705151696114
121,174,5,0.3000030517578125,True,1,1,[37],[0.80526316],173,35.32047,170,40.248844146728516,42.55478181034686,44.80613354003013
122,175,4,224.63454789443665,False,0,1,[6],[0.00312695],6,1.7633765,-1,-1.0,2.1245499691331244,-1.0
123,176,3,0.900004069254744,True,0,1,[19],[0.8333333],101,22.243422,97,23.63153076171875,26.799303077789677,32.86861917551017
124,176,4,0.3000030517578125,True,0,1,[24],[0.8503937],117,30.529825,118,41.118125915527344,36.78292194044734,49.64831051477682
125,178,8,0.29998779296875,True,1,1,[13],[0.72392637],133,27.175274,148,29.142345428466797,32.74129384971527,30.73499579064772
126,180,12,0.29998779296875,True,0,1,[29],[0.73493975],126,29.018885,162,42.600807189941406,34.96251163712467,49.78668471364312
127,184,0,0.6708203933887703,True,1,1,[29],[0.63829786],143,31.297264,165,32.526344299316406,37.707547107374815,39.10502142957529
128,185,11,0.670820393562312,True,0,1,[11],[0.7714286],59,14.68475,65,16.82851219177246,17.69246940153191,19.46306079379996
129,186,13,0.5196117190017219,True,1,1,[6],[0.8428571],62,21.070534,67,19.859256744384766,25.38618524390531,25.816812755872537
130,187,2,0.9486736475940446,True,0,1,[16],[0.46875],64,15.694782,-1,-1.0,18.909376213349493,-1.0
131,190,4,1.2727943641001616,True,1,1,[2],[0.5294118],18,5.483053,34,15.209321022033691,6.606088201683688,602.6750882149873
132,192,3,0.300048828125,True,1,1,[39],[0.8057143],157,31.781864,159,33.617942810058594,38.291402609951525,45.39258738633598
133,192,5,0.29998779296875,True,1,1,[28  3],[0.8288288  0.00114987],104,24.400015,99,21.527294158935547,29.397608285926914,24.940094473008557
134,193,1,1.2727619954577063,True,1,1,[30],[0.7777778],129,22.704632,127,28.341140747070312,27.354978078819187,35.858451080779794
135,196,6,0.4242090445651077,True,1,1,[17  5],[7.9020977e-01 2.9411764e-04],127,30.092022,129,29.088029861450195,36.25544812305864,38.97195374585882
136,197,6,0.3000030517578125,True,0,1,[13  3],[0.33888888 0.00592217],77,18.862318,-1,-1.0,22.72568438426558,-1.0
137,198,5,1.5588557118358282,True,1,1,[24 23],[0.6875     0.03030303],14,3.9410717,13,3.964212656021118,4.748279215341592,5.212477050963603
138,198,7,166.2103129688643,False,0,1,[11],[0.00179211],24,3.457696,-1,-1.0,4.165898748191006,-1.0
139,198,8,0.29998779296875,True,1,1,[42  0],[0.41509435 0.01039261],39,11.094031,-1,-1.0,13.366302811955832,-1.0
140,198,9,3.9572623020720306,False,1,1,[41  1],[0.61904764 0.00315126],154,28.294552,186,32.078330993652344,34.08982150525932,41.348612316836565
141,199,7,1.1224800882395087,True,1,1,[24],[0.8192771],71,20.616928,80,23.617300033569336,24.839672410344505,29.83818249345019
142,201,6,0.3000030517578125,True,1,1,[27],[0.85365856],80,23.231487,72,21.492111206054688,27.989743703819187,33.52717994553336
143,203,11,0.300018310546875,True,1,1,[37],[0.8372093],79,28.45041,79,32.503196716308594,34.277603425175315,37.77197418527666
144,204,3,0.300048828125,True,1,1,[18  0],[0.82653064 0.00148662],187,40.615173,171,40.179813385009766,48.93394378294428,44.873628339880405
145,206,1,0.4242575950931961,True,1,1,[8 0],[0.8540146  0.00613497],125,23.067585,129,26.76807403564453,27.792271074042265,37.12454300962907
146,207,4,4.8466513488253495,False,0,1,[17],[0.7],60,16.638342,59,30.026161193847656,20.04619506468256,40.487654462656906
147,208,3,0.29998779296875,True,0,1,[18],[0.85],34,9.65467,40,10.325774192810059,11.632132242961104,13.133316201120428
148,209,5,0.5196029088876658,True,1,1,[27 31 26],[0.64835167 0.09615385 0.0060241 ],153,30.617853,147,31.73832893371582,36.888979716473315,36.02492723537264
149,209,9,0.29998779296875,True,1,1,[14  9],[0.7083333  0.00121065],79,20.683723,85,19.67576789855957,24.920148734586785,34.560901251384436
150,210,1,0.29998779296875,True,0,1,[21  4],[0.78313255 0.00139179],76,24.423862,72,28.556194305419922,29.426340309970353,44.34994490690788
151,212,5,0.9486495213915175,True,0,1,[17],[0.7118644],98,19.96374,104,22.852718353271484,24.052698066435667,29.065428779621904
152,212,7,0.7348730873961772,True,0,0,[],[],3,1.8731302,-1,-1.0,2.2567833762571037,-1.0
153,215,0,0.3000030517578125,True,1,1,[12  4],[6.4748204e-01 3.0193236e-04],123,28.76742,106,29.427330017089844,34.659541945859615,35.8159752598243
154,215,2,1.1225127129472705,True,0,1,[13  2],[6.9784170e-01 3.7327362e-04],111,24.218987,125,32.20820999145508,29.179501820759604,43.962002609708904
155,221,12,0.4243007545635366,True,0,1,[15  1],[8.7755102e-01 6.2735257e-04],137,35.66996,139,41.58961486816406,42.975855448159834,50.42234702149201
156,222,0,0.29998779296875,True,1,1,[28  1],[0.90052354 0.0040282 ],185,41.90207,178,41.74565124511719,50.48442059252636,49.17973357850821
157,222,6,0.4242468053627785,True,1,1,[21],[0.83928573],159,28.887878,150,25.90464210510254,34.804672792733435,33.62537546172656
158,223,3,0.29998779296875,True,1,1,[35],[0.84782606],86,27.369787,84,37.33470916748047,32.9756472484175,45.01803552854548
159,223,5,0.29998779296875,True,1,1,[34 33],[0.92086333 0.00704225],133,34.5512,134,35.237548828125,41.627952851444846,39.98727488476111
160,223,6,0.29998779296875,True,0,1,[42  0],[0.7924528  0.00167504],50,11.987042,45,13.22146987915039,14.442219791642156,40.198812019664274
161,223,7,0.29998779296875,True,0,1,[12],[0.8629442],187,35.721855,180,38.95512008666992,43.03837971514967,43.494886983478935
162,223,8,0.5196293401259295,True,1,1,[40],[0.8333333],133,31.931568,142,36.009300231933594,38.47176885030356,50.485248407916885
163,225,8,0.424252200193688,True,1,1,[37],[0.0673077],8,3.197586,-1,-1.0,3.8525133247835095,-1.0
164,225,9,1.6970519590104265,True,1,1,[32],[0.71153843],121,25.516758,146,35.215946197509766,30.743081885648063,41.86369206505642
165,226,8,0.29999542236328125,True,1,1,[22 20],[0.8072917  0.00385109],177,37.51484,170,33.4985466003418,45.198601412485885,49.7586938929327
166,229,6,1.6431704583882962,True,1,1,[10],[0.5745856],136,29.744614,149,29.354738235473633,35.83688391260354,34.12336010309098
167,229,7,0.3000030517578125,True,1,1,[21 19],[0.78571427 0.0155642 ],172,36.748474,178,34.559791564941406,44.27527002541416,40.357071171965224
168,230,5,0.4242468053627785,True,0,1,[12  4],[0.88095236 0.00769231],83,19.678843,75,21.716596603393555,23.709448848862248,23.179332769374096
169,231,6,1.0816890820215157,True,0,1,[32],[0.742268],86,20.824436,83,29.087726593017578,25.089682153908605,41.18498326778168
170,233,5,0.4242575950931961,True,1,1,[27  4],[6.753247e-01 6.053269e-04],67,21.359974,62,26.611845016479492,25.73490832225386,40.41309023426935
171,236,0,0.29998779296875,True,0,1,[6 5],[4.1650295e-01 2.7677830e-04],2850,927.7856,-1,-1.0,1117.8139560193902,-1.0
172,238,1,0.3000030517578125,True,1,1,[13  3],[0.69545454 0.00594059],179,34.70577,194,33.1656379699707,41.81417901831937,43.58012249560496
173,239,5,1.2368961617996452,True,1,1,[29],[0.8741259],134,29.082314,134,28.98291778564453,35.03893197300923,35.58520379090356
174,240,10,1.0816763859084702,True,0,1,[12],[0.7755102],78,24.054579,96,24.735633850097656,28.981420218226425,29.67902280148509
175,242,6,0.8999938970017799,True,1,1,[25  1],[0.8064516  0.00117578],138,26.944862,142,32.577606201171875,32.46368959725621,46.74014769654216
176,243,9,0.6708272171878565,True,1,1,[12],[0.7529412],69,18.947882,80,27.216964721679688,22.828773130853495,41.32985198067415
177,244,5,0.2999267578125,True,1,1,[35  0],[8.4444445e-01 5.2356021e-04],85,22.48294,81,25.09834098815918,27.087880329913407,31.710087338900586
178,244,6,0.29998779296875,True,1,1,[11],[0.6451613],20,4.568964,31,6.921763896942139,5.504775909056147,6.981020500685058
179,244,7,0.300048828125,True,1,1,[31 30],[0.77272725 0.005     ],41,11.584797,37,10.547929763793945,13.95758663315371,16.23734584006661
180,247,2,1.1224270752285634,True,1,1,[16],[0.75],198,33.17421,222,40.83705139160156,39.96892722256213,48.1409828709436
181,248,6,0.4242575950931961,True,0,1,[26],[0.4375],13,4.011459,-1,-1.0,4.833082980420216,-1.0
182,250,5,0.300048828125,True,1,1,[23  7],[0.7285714  0.00431034],118,31.602577,124,39.14358139038086,38.07539422828031,51.054217346499556
183,251,7,0.9949607535474735,True,1,1,[14],[0.65909094],98,19.171686,121,23.439027786254883,23.098417075283557,26.7103236601186
184,252,6,0.4242575950931961,True,1,1,[11],[0.78512394],103,23.270527,113,28.389259338378906,28.03677938070642,31.91989687635794
185,253,10,0.424289965930668,True,1,1,[29  1],[0.9137931  0.00134499],109,31.004953,113,40.91469192504883,37.35536552337279,48.94388222467915
186,256,6,1.1225167910079612,True,1,1,[33],[0.6315789],19,4.4897366,12,3.3680315017700195,5.409321153020285,4.112817459456325
187,259,6,1.3415930190038556,True,0,1,[16],[0.83],86,29.850298,97,32.13364791870117,35.964214370911385,40.78725229119211
188,261,6,0.3000030517578125,True,1,1,[19],[0.8819444],131,34.780373,140,35.84757995605469,41.90406339714326,42.123102983331485
